mapblklot,blklot,block_num,lot_num,from_st,to_st,street,st_type,odd_even,area
1300001,1300001,1300,1,2901,2901,LYON,ST,O,6104089
1700001,1700001,1700,1,1101,1199,09TH,AVE,O,4149480
4591A079,4591A079,4591A,79,520,520,SPEAR,AVE,E,2893706
7283004,7283004,7283,4,991,991,LAKE MERCED,BLVD,O,2480004
1939001,1939001,1939,1,300,600,CALIFORNIA,AVE,E,1684637
6220002,6220002,6220,2,61,61,JOHN F SHELLEY,DR,O,1351541
4502A002,4502A002,4502A,2,3305,3305,03RD,ST,O,696521
900003,900003,900,3,3751,3751,LAGUNA,ST,O,657407
1939002,1939002,1939,2,0,0,UNKNOWN,NULL,E,620400
7284001,7284001,7284,1,599,599,SKYLINE,BLVD,O,462228